Provider,Model,Input Price,Input Units,Output Price,Output Units
OpenAI,Gpt-40,2.50,USD/Mtok,10,USD/Mtok
OpenAI,gpt-4o-2024-08-06,2.50,USD/Mtok,10,USD/Mtok
OpenAI,GPT-4o mini,0.15,USD/Mtok,0.6,USD/Mtok
OpenAI,chatgpt-4o-latest,5,USD/Mtok,15,USD/Mtok
Anthropic,Claude 3.5 Sonnet,3,USD/Mtok,15,USD/Mtok
Anthropic,Claude 3.5 Haiku,1,USD/Mtok,5,USD/Mtok
Anthropic,Claude 3 Opus,15,USD/Mtok,75,USD/Mtok
Mistral,Large 2,2,USD/Mtok,6,USD/Mtok
Mistral,Small 24.09,0.2,USD/Mtok,0.6,USD/Mtok
Mistral,Codestral,0.2,USD/Mtok,0.6,USD/Mtok
Google,Gemini 1.5 Flash (Paid Tier),0.07,USD/Mtok,0.30,USD/Mtok
Google,Gemini 1.5 Pro (Paid Tier),1.25,USD/Mtok,5,USD/Mtok
Cohere,Command R+,2.50,USD/Mtok,10,USD/Mtok
Cohere,Command R,0.3,USD/Mtok,1.2,USD/Mtok
