Model,Quality,Resolution/Pricing Category,Price
gpt-4o,,1M Input Tokens,$2.50
gpt-4o,,1M Cached Input Tokens,$1.25
gpt-4o,,1M Output Tokens,$0.00
gpt-4o-2024-11-20,,1M Input Tokens,$2.50
gpt-4o-2024-11-20,,1M Cached Input Tokens,$1.25
gpt-4o-2024-11-20,,1M Output Tokens,$0.00
gpt-4o-2024-08-06,,1M Input Tokens,$2.50
gpt-4o-2024-08-06,,1M Cached Input Tokens,$1.25
gpt-4o-2024-08-06,,1M Output Tokens,$0.00
gpt-4o-audio-preview,Text,1M Input Tokens,$2.50
gpt-4o-audio-preview,Text,1M Output Tokens,$0.00
gpt-4o-audio-preview,Audio,1M Input Tokens,$100.00
gpt-4o-audio-preview,Audio,1M Output Tokens,$200.00
gpt-40-audio-preview-2024-10-01,Text,1M Input Tokens,$2.50
gpt-40-audio-preview-2024-10-01,Text,1M Output Tokens,$0.00
gpt-40-audio-preview-2024-10-01,Audio,1M Input Tokens,$100.00
gpt-40-audio-preview-2024-10-01,Audio,1M Output Tokens,$200.00
gpt-4o-2024-05-13,,1M Input Tokens,$2.50
gpt-4o-2024-05-13,,1M Output Tokens,$1.50
gpt-4o-mini,,1M Input Tokens,$0.15
gpt-4o-mini,,1M Cached Input Tokens,$0.075
gpt-4o-mini,,1M Output Tokens,$0.60
gpt-4o-mini-2024-07-18,,1M Input Tokens,$0.15
gpt-4o-mini-2024-07-18,,1M Cached Input Tokens,$0.075
gpt-4o-mini-2024-07-18,,1M Output Tokens,$0.60
o1-preview,,1M Input Tokens,$15.00
o1-preview,,1M Cached Input Tokens,$7.50
o1-preview,,1M Output Tokens,$60.00
o1-preview-2024-09-12,,1M Input Tokens,$15.00
o1-preview-2024-09-12,,1M Cached Input Tokens,$7.50
o1-preview-2024-09-12,,1M Output Tokens,$60.00
o1-mini,,1M Input Tokens,$3.00
o1-mini,,1M Cached Input Tokens,$1.50
o1-mini,,1M Output Tokens,$12.00
o1-mini-2024-09-12,,1M Input Tokens,$3.00
o1-mini-2024-09-12,,1M Cached Input Tokens,$1.50
o1-mini-2024-09-12,,1M Output Tokens,$12.00
gpt-4o-2024-08-06 (Fine-tuning),,1M Training Tokens,$25.00
gpt-4o-mini-2024-07-18 (Fine-tuning),,1M Training Tokens,$3.00
gpt-3.5-turbo (Fine-tuning),,1M Training Tokens,$8.00
davinci-002 (Fine-tuning),,1M Training Tokens,$6.00
babbage-002 (Fine-tuning),,1M Training Tokens,$0.40
gpt-4o-realtime-preview,Text,1M Input Tokens,$5.00
gpt-4o-realtime-preview,Text,1M Cached Input Tokens,$2.50
gpt-4o-realtime-preview,Text,1M Output Tokens,$20.00
gpt-4o-realtime-preview,Audio,1M Input Tokens,$100.00
gpt-4o-realtime-preview-2024-10-01,Text,1M Input Tokens,$5.00
gpt-4o-realtime-preview-2024-10-01,Text,1M Cached Input Tokens,$2.50
gpt-4o-realtime-preview-2024-10-01,Text,1M Output Tokens,$20.00
gpt-4o-realtime-preview-2024-10-01,Audio,1M Input Tokens,$100.00
gpt-4o-realtime-preview-2024-10-01,Audio,1M Output Tokens,$200.00
Code Interpreter,,Per Session,$0.03
File Search,,Per GB/Day,$0.10
DALL-E 3,Standard,1024x1024,$0.040
DALL-E 3,Standard,1024x1792,$0.080
DALL-E 3,HD,1024x1024,$0.080
DALL-E 3,HD,1024x1792,$0.120
DALL-E 2,,1024x1024,$0.020
DALL-E 2,,512x512,$0.018
DALL-E 2,,256x256,$0.016
Whisper,,Per Minute,$0.006
TTS,,1M Characters,$15.00
TTS HD,,1M Characters,$30.00
 
